# 3D spherical overdensity
# Equivalent 1D problem with 1000 cell fixed grid
# t = 0.1
# radius	density	radial velocity	pressure
0.0005	1.0	4.28248e-17	1.0
0.0015	1.0	1.56473e-16	1.0
0.0025	1.0	-2.02867e-17	1.0
0.0035	1.0	-1.96763e-16	1.0
0.0045	1.0	-8.41609e-17	1.0
0.0055	1.0	0.0	1.0
0.0065	1.0	0.0	1.0
0.0075	1.0	0.0	1.0
0.0085	1.0	6.37963e-17	1.0
0.0095	1.0	1.76685e-16	1.0
0.0105	1.0	0.0	1.0
0.0115	1.0	-1.76685e-16	1.0
0.0125	1.0	-6.37963e-17	1.0
0.0135	1.0	0.0	1.0
0.0145	1.0	0.0	1.0
0.0155	1.0	0.0	1.0
0.0165	1.0	0.0	1.0
0.0175	1.0	0.0	1.0
0.0185	1.0	0.0	1.0
0.0195	1.0	0.0	1.0
0.0205	1.0	6.37963e-17	1.0
0.0215	1.0	1.76685e-16	1.0
0.0225	1.0	0.0	1.0
0.0235	1.0	-1.76685e-16	1.0
0.0245	1.0	-6.37963e-17	1.0
0.0255	1.0	0.0	1.0
0.0265	1.0	0.0	1.0
0.0275	1.0	6.37963e-17	1.0
0.0285	1.0	1.76685e-16	1.0
0.0295	1.0	0.0	1.0
0.0305	1.0	-1.76685e-16	1.0
0.0315	1.0	-6.37963e-17	1.0
0.0325	1.0	0.0	1.0
0.0335	1.0	0.0	1.0
0.0345	1.0	0.0	1.0
0.0355	1.0	0.0	1.0
0.0365	1.0	0.0	1.0
0.0375	1.0	0.0	1.0
0.0385	1.0	0.0	1.0
0.0395	1.0	0.0	1.0
0.0405	1.0	0.0	1.0
0.0415	1.0	0.0	1.0
0.0425	1.0	0.0	1.0
0.0435	1.0	0.0	1.0
0.0445	1.0	6.37963e-17	1.0
0.0455	1.0	1.76685e-16	1.0
0.0465	1.0	0.0	1.0
0.0475	1.0	-1.76685e-16	1.0
0.0485	1.0	-6.37963e-17	1.0
0.0495	1.0	0.0	1.0
0.0505	1.0	0.0	1.0
0.0515	1.0	0.0	1.0
0.0525	1.0	0.0	1.0
0.0535	1.0	0.0	1.0
0.0545	1.0	0.0	1.0
0.0555	1.0	0.0	1.0
0.0565	1.0	0.0	1.0
0.0575	1.0	0.0	1.0
0.0585	1.0	0.0	1.0
0.0595	1.0	2.18242e-16	1.0
0.0605	1.0	4.80154e-16	1.0
0.0615	1.0	1.24397e-15	1.0
0.0625	1.0	3.14242e-15	1.0
0.0635	1.0	7.70326e-15	1.0
0.0645	1.0	1.91815e-14	1.0
0.0655	1.0	4.55417e-14	1.0
0.0665	1.0	1.04938e-13	1.0
0.0675	1.0	2.38565e-13	1.0
0.0685	1.0	5.35665e-13	1.0
0.0695	1.0	1.18796e-12	1.0
0.0705	1.0	2.6061e-12	1.0
0.0715	1.0	5.6556e-12	1.0
0.0725	1.0	1.21431e-11	1.0
0.0735	1.0	2.57957e-11	1.0
0.0745	1.0	5.42152e-11	1.0
0.0755	1.0	1.12722e-10	1.0
0.0765	1.0	2.31837e-10	1.0
0.0775	1.0	4.71627e-10	1.0
0.0785	1.0	9.4889e-10	1.0
0.0795	1.0	1.88795e-09	1.0
0.0805	1.0	3.71433e-09	1.0
0.0815	1.0	7.22501e-09	1.0
0.0825	1.0	1.38936e-08	1.0
0.0835	1.0	2.64097e-08	1.0
0.0845	1.0	4.96168e-08	1.0
0.0855	1.0	9.2121e-08	1.0
0.0865	1.0	1.69004e-07	1.0
0.0875	1.0	3.06325e-07	1.0
0.0885	1.0	5.48475e-07	0.999999
0.0895	0.999999	9.69962e-07	0.999999
0.0905	0.999999	1.69398e-06	0.999998
0.0915	0.999998	2.9211e-06	0.999996
0.0925	0.999996	4.97273e-06	0.999993
0.0935	0.999993	8.35558e-06	0.999989
0.0945	0.999989	1.38551e-05	0.999982
0.0955	0.999982	2.26676e-05	0.99997
0.0965	0.999971	3.65827e-05	0.999952
0.0975	0.999954	5.82272e-05	0.999923
0.0985	0.999928	9.13814e-05	0.999879
0.0995	0.999888	0.000141374	0.999813
0.1005	0.999829	0.000215557	0.999716
0.1015	0.999743	0.00032384	0.999572
0.1025	0.99962	0.000479264	0.999367
0.1035	0.999446	0.000698555	0.999077
0.1045	0.999205	0.00100259	0.998675
0.1055	0.998875	0.00141667	0.998126
0.1065	0.998435	0.00197055	0.997393
0.1075	0.997856	0.00269803	0.996429
