# 3D Evrard collapse
# Equivalent 1D problem with 1000 cell co-moving grid
# t = 0.54
# radius	density	radial velocity	pressure
5.37311e-05	4699.58	-6.1855e-05	224.03
0.000161205	4591.85	3.61211e-05	222.821
0.000268674	3874.17	-2.59024e-05	221.09
0.000376149	2645.97	-2.59715e-05	219.295
0.000483632	1955.55	-7.97693e-06	217.889
0.000591119	1640.36	-9.05958e-06	216.761
0.000698613	1445.6	-1.58223e-05	215.779
0.000806114	1307.0	-2.41132e-05	214.886
0.000913626	1204.83	-3.28572e-05	214.052
0.00102115	1127.26	-4.18657e-05	213.257
0.00112869	1065.42	-5.09803e-05	212.49
0.00123625	1013.3	-5.99984e-05	211.742
0.00134382	967.351	-6.87394e-05	211.01
0.00145142	925.692	-7.7107e-05	210.29
0.00155905	887.389	-8.50572e-05	209.581
0.0016667	852.041	-9.25819e-05	208.885
0.00177438	819.569	-9.97015e-05	208.199
0.00188209	790.067	-0.000106474	207.523
0.00198983	763.612	-0.000112994	206.856
0.00209761	740.099	-0.00011936	206.198
0.00220542	719.21	-0.000125654	205.546
0.00231328	700.491	-0.000131924	204.9
0.00242118	683.455	-0.000138192	204.258
0.00252911	667.645	-0.000144459	203.62
0.0026371	652.696	-0.000150703	202.985
0.00274513	638.377	-0.000156892	202.354
0.00285321	624.612	-0.000163004	201.726
0.00296134	611.416	-0.000169031	201.101
0.00306952	598.833	-0.000174981	200.48
0.00317775	586.88	-0.000180865	199.862
0.00328605	575.538	-0.000186695	199.248
0.0033944	564.764	-0.000192477	198.636
0.0035028	554.516	-0.000198213	198.027
0.00361128	544.775	-0.000203901	197.421
0.00371981	535.548	-0.000209548	196.818
0.00382841	526.845	-0.000215167	196.217
0.00393707	518.638	-0.000220778	195.618
0.00404581	510.838	-0.000226395	195.021
0.00415462	503.314	-0.000232016	194.426
0.00426349	495.963	-0.000237623	193.832
0.00437244	488.75	-0.000243201	193.241
0.00448147	481.707	-0.00024874	192.651
0.00459058	474.887	-0.000254246	192.064
0.00469976	468.324	-0.000259728	191.478
0.00480903	462.011	-0.000265198	190.895
0.00491838	455.904	-0.000270663	190.313
0.00502781	449.945	-0.000276117	189.733
0.00513733	444.1	-0.000281548	189.155
0.00524694	438.386	-0.000286945	188.579
0.00535664	432.861	-0.00029231	188.005
0.00546643	427.579	-0.000297657	187.432
0.00557632	422.545	-0.000303002	186.861
0.00568629	417.72	-0.000308351	186.292
0.00579637	413.05	-0.0003137	185.724
0.00590655	408.506	-0.000319045	185.158
0.00601682	404.084	-0.000324383	184.593
0.0061272	399.788	-0.000329717	184.029
0.00623769	395.61	-0.000335052	183.466
0.00634828	391.53	-0.00034039	182.905
0.00645897	387.522	-0.000345728	182.345
0.00656978	383.565	-0.000351062	181.786
0.0066807	379.655	-0.000356387	181.228
0.00679173	375.801	-0.000361702	180.672
0.00690287	372.014	-0.000367009	180.117
0.00701413	368.297	-0.000372309	179.563
0.00712551	364.644	-0.000377606	179.011
0.00723701	361.043	-0.000382897	178.46
0.00734864	357.489	-0.000388177	177.911
0.00746038	353.991	-0.000393442	177.363
0.00757225	350.578	-0.00039869	176.817
0.00768425	347.286	-0.000403925	176.272
0.00779638	344.138	-0.00040916	175.728
0.00790863	341.126	-0.000414404	175.185
0.00802103	338.214	-0.000419663	174.643
0.00813355	335.355	-0.000424937	174.103
0.00824621	332.508	-0.000430215	173.563
0.00835901	329.665	-0.000435487	173.024
0.00847195	326.85	-0.000440748	172.487
0.00858503	324.101	-0.000446002	171.95
0.00869825	321.439	-0.000451258	171.415
0.00881162	318.86	-0.000456524	170.88
0.00892513	316.336	-0.000461803	170.347
0.00903879	313.835	-0.000467092	169.814
0.00915261	311.334	-0.000472394	169.282
0.00926657	308.797	-0.000477688	168.752
0.00938069	306.253	-0.000482959	168.222
0.00949497	303.777	-0.000488221	167.693
0.0096094	301.386	-0.000493486	167.166
0.009724	299.076	-0.000498756	166.639
0.00983875	296.834	-0.000504035	166.114
0.00995367	294.644	-0.000509323	165.589
0.0100687	292.488	-0.000514622	165.065
0.010184	290.351	-0.00051993	164.542
0.0102994	288.219	-0.000525245	164.02
0.010415	286.083	-0.00053057	163.498
0.0105308	283.924	-0.000535884	162.978
0.0106467	281.782	-0.000541188	162.458
0.0107628	279.688	-0.000546493	161.94
0.0108791	277.648	-0.000551802	161.422
0.0109956	275.654	-0.000557117	160.905
0.0111122	273.7	-0.000562437	160.39
0.011229	271.783	-0.00056776	159.875
0.0113461	269.909	-0.000573088	159.361
0.0114633	268.08	-0.000578424	158.847
0.0115807	266.288	-0.000583773	158.335
0.0116983	264.52	-0.000589134	157.823
0.011816	262.761	-0.000594506	157.311
0.011934	261.001	-0.000599891	156.801
0.0120522	259.223	-0.000605288	156.291
0.0121705	257.412	-0.000610669	155.782
0.0122891	255.624	-0.000616044	155.274
0.0124079	253.881	-0.000621421	154.767
0.0125269	252.19	-0.000626804	154.261
0.012646	250.549	-0.000632197	153.755
0.0127654	248.949	-0.000637603	153.25
0.012885	247.379	-0.000643021	152.746
0.0130048	245.828	-0.00064845	152.242
0.0131249	244.29	-0.00065389	151.74
0.0132451	242.761	-0.000659338	151.237
0.0133656	241.241	-0.000664796	150.736
0.0134863	239.729	-0.000670263	150.235
0.0136072	238.222	-0.00067574	149.734
0.0137283	236.718	-0.000681226	149.235
0.0138496	235.214	-0.00068672	148.736
0.0139712	233.709	-0.000692218	148.237
0.014093	232.211	-0.00069772	147.74
0.0142151	230.726	-0.000703225	147.243
0.0143373	229.265	-0.000708734	146.748
0.0144599	227.832	-0.00071425	146.252
0.0145826	226.431	-0.000719775	145.758
0.0147056	225.06	-0.000725309	145.264
0.0148288	223.719	-0.000730856	144.771
0.0149523	222.403	-0.000736415	144.278
0.015076	221.109	-0.000741989	143.786
0.0152	219.829	-0.000747578	143.295
0.0153242	218.556	-0.000753181	142.804
0.0154487	217.284	-0.0007588	142.314
0.0155734	216.006	-0.000764434	141.824
0.0156984	214.714	-0.000770068	141.335
0.0158236	213.429	-0.000775704	140.846
0.0159491	212.165	-0.00078135	140.358
0.0160749	210.924	-0.000787007	139.871
0.0162009	209.703	-0.000792677	139.384
0.0163272	208.499	-0.000798361	138.898
0.0164538	207.31	-0.000804058	138.413
0.0165806	206.131	-0.00080977	137.928
0.0167077	204.96	-0.000815496	137.443
0.0168351	203.793	-0.000821235	136.959
0.0169627	202.628	-0.000826986	136.476
0.0170907	201.468	-0.000832746	135.993
0.0172189	200.316	-0.000838516	135.511
0.0173474	199.178	-0.000844297	135.029
0.0174762	198.054	-0.000850092	134.548
0.0176053	196.942	-0.000855902	134.067
0.0177346	195.839	-0.000861728	133.587
0.0178643	194.742	-0.000867566	133.108
0.0179942	193.651	-0.000873416	132.629
0.0181245	192.569	-0.000879278	132.151
0.018255	191.499	-0.000885152	131.673
0.0183859	190.442	-0.000891042	131.196
0.018517	189.397	-0.000896949	130.719
0.0186485	188.358	-0.000902873	130.242
0.0187803	187.323	-0.000908812	129.767
0.0189123	186.291	-0.000914763	129.291
0.0190447	185.266	-0.000920725	128.817
0.0191774	184.253	-0.000926699	128.342
0.0193105	183.254	-0.000932689	127.869
0.0194438	182.271	-0.000938697	127.395
0.0195774	181.298	-0.000944725	126.922
