# 3D Evrard collapse
# Equivalent 1D problem with 1000 cell co-moving grid
# t = 0.42
# radius	density	radial velocity	pressure
4.99667e-05	5278.88	-3.44933e-05	271.588
0.00014991	4986.5	0.000113868	270.305
0.000249847	3636.36	0.000108102	268.718
0.000349788	2471.38	0.000157454	267.25
0.000449733	2019.11	0.000202664	266.094
0.000549682	1762.7	0.000240856	265.079
0.000649639	1579.73	0.000279047	264.145
0.000749605	1443.19	0.000317865	263.265
0.000849583	1340.2	0.000357021	262.423
0.000949574	1260.28	0.000396277	261.606
0.00104958	1195.23	0.000435618	260.806
0.0011496	1139.5	0.000475144	260.017
0.00124965	1089.81	0.000514957	259.237
0.00134971	1044.46	0.000555122	258.466
0.0014498	1002.58	0.000595668	257.703
0.00154992	963.826	0.000636605	256.949
0.00165006	928.144	0.000677915	256.203
0.00175023	895.652	0.00071955	255.466
0.00185043	866.443	0.000761432	254.736
0.00195067	840.411	0.000803478	254.014
0.00205094	817.226	0.000845622	253.297
0.00215124	796.418	0.000887822	252.584
0.00225158	777.478	0.000930059	251.875
0.00235196	759.917	0.000972335	251.169
0.00245238	743.326	0.00101467	250.465
0.00255284	727.44	0.00105709	249.764
0.00265334	712.148	0.00109963	249.066
0.0027539	697.457	0.00114229	248.371
0.00285449	683.417	0.00118507	247.678
0.00295514	670.056	0.00122797	246.988
0.00305583	657.367	0.00127098	246.302
0.00315658	645.306	0.00131408	245.617
0.00325738	633.828	0.00135729	244.936
0.00335823	622.899	0.0014006	244.257
0.00345914	612.515	0.00144401	243.58
0.00356011	602.693	0.00148752	242.905
0.00366114	593.427	0.0015311	242.233
0.00376223	584.657	0.00157475	241.562
0.00386338	576.258	0.00161846	240.893
0.00396459	568.09	0.00166224	240.225
0.00406587	560.07	0.00170611	239.559
0.00416721	552.202	0.00175008	238.894
0.00426862	544.539	0.00179416	238.232
0.0043701	537.136	0.00183833	237.571
0.00447166	530.017	0.0018826	236.912
0.00457328	523.159	0.00192696	236.255
0.00467498	516.506	0.00197139	235.599
0.00477676	509.998	0.00201591	234.945
0.00487861	503.604	0.00206053	234.293
0.00498054	497.356	0.00210527	233.643
0.00508255	491.326	0.00215011	232.995
0.00518464	485.572	0.00219505	232.348
0.00528682	480.093	0.00224007	231.703
0.00538908	474.831	0.00228517	231.059
0.00549142	469.724	0.00233035	230.416
0.00559385	464.743	0.00237562	229.775
0.00569637	459.892	0.00242098	229.135
0.00579898	455.177	0.00246643	228.496
0.00590168	450.59	0.00251197	227.858
0.00600448	446.109	0.0025576	227.221
0.00610737	441.705	0.00260332	226.586
0.00621036	437.355	0.00264913	225.951
0.00631344	433.051	0.00269504	225.318
0.00641662	428.802	0.00274105	224.686
0.0065199	424.625	0.00278716	224.056
0.00662329	420.527	0.00283338	223.427
0.00672678	416.502	0.00287969	222.799
0.00683037	412.537	0.00292611	222.172
0.00693407	408.622	0.00297263	221.547
0.00703788	404.763	0.00301926	220.923
0.0071418	400.982	0.00306601	220.301
0.00724582	397.319	0.00311288	219.68
0.00734996	393.809	0.00315985	219.06
0.00745422	390.458	0.00320691	218.442
0.00755859	387.238	0.00325407	217.824
0.00766308	384.094	0.00330131	217.208
0.00776768	380.977	0.00334865	216.592
0.00787241	377.856	0.0033961	215.977
0.00797725	374.735	0.00344366	215.364
0.00808222	371.667	0.00349134	214.751
0.00818731	368.688	0.00353914	214.139
0.00829253	365.813	0.00358704	213.529
0.00839788	363.021	0.00363504	212.919
0.00850336	360.274	0.00368314	212.31
0.00860896	357.538	0.00373135	211.702
0.0087147	354.783	0.00377965	211.095
0.00882057	351.962	0.0038281	210.489
0.00892658	349.176	0.00387668	209.884
0.00903273	346.485	0.00392538	209.28
0.00913901	343.893	0.00397419	208.677
0.00924543	341.385	0.00402312	208.075
0.00935199	338.944	0.00407216	207.474
0.0094587	336.551	0.00412132	206.874
0.00956555	334.192	0.00417058	206.274
0.00967255	331.851	0.00421997	205.675
0.00977969	329.514	0.00426947	205.077
0.00988699	327.167	0.00431909	204.48
0.00999443	324.785	0.00436884	203.884
0.010102	322.423	0.00441874	203.289
0.0102098	320.123	0.00446877	202.695
0.0103177	317.891	0.00451893	202.102
0.0104258	315.712	0.0045692	201.509
0.010534	313.572	0.00461961	200.918
0.0106424	311.466	0.00467014	200.327
0.0107509	309.402	0.00472082	199.737
0.0108596	307.388	0.00477162	199.148
0.0109685	305.421	0.00482254	198.56
0.0110775	303.484	0.0048736	197.972
0.0111867	301.559	0.00492478	197.385
0.0112961	299.632	0.00497609	196.798
0.0114057	297.682	0.00502753	196.213
0.0115154	295.685	0.00507914	195.628
0.0116253	293.707	0.00513089	195.044
0.0117354	291.777	0.00518279	194.461
0.0118457	289.903	0.00523483	193.878
0.0119561	288.087	0.00528702	193.297
0.0120667	286.322	0.00533934	192.716
0.0121775	284.594	0.00539181	192.136
0.0122885	282.89	0.00544441	191.556
0.0123997	281.198	0.00549717	190.977
0.0125111	279.515	0.00555006	190.399
0.0126226	277.84	0.00560311	189.821
0.0127344	276.174	0.00565631	189.244
0.0128463	274.517	0.00570966	188.667
0.0129585	272.864	0.00576316	188.091
0.0130708	271.214	0.00581682	187.516
0.0131834	269.563	0.00587064	186.942
0.0132961	267.912	0.00592462	186.368
0.0134091	266.269	0.00597876	185.795
0.0135222	264.643	0.00603307	185.223
0.0136356	263.046	0.00608754	184.651
0.0137491	261.485	0.00614218	184.08
0.0138629	259.958	0.00619699	183.51
0.0139769	258.464	0.00625196	182.941
0.0140911	257.0	0.00630709	182.372
0.0142055	255.562	0.00636239	181.803
0.0143202	254.147	0.00641786	181.236
0.014435	252.747	0.00647349	180.668
0.0145501	251.355	0.00652929	180.101
0.0146654	249.963	0.00658526	179.535
0.0147809	248.559	0.0066414	178.969
0.0148967	247.129	0.00669773	178.404
0.0150127	245.712	0.00675426	177.839
0.0151289	244.325	0.00681096	177.275
0.0152454	242.965	0.00686784	176.712
0.0153621	241.627	0.0069249	176.149
0.015479	240.304	0.00698215	175.587
0.0155961	238.997	0.00703958	175.025
0.0157135	237.702	0.0070972	174.464
0.0158312	236.418	0.007155	173.903
0.0159491	235.139	0.00721299	173.343
0.0160672	233.861	0.00727118	172.783
0.0161856	232.585	0.00732956	172.223
0.0163043	231.314	0.00738815	171.665
0.0164231	230.056	0.00744693	171.107
0.0165423	228.816	0.00750591	170.549
0.0166617	227.592	0.00756509	169.992
0.0167814	226.382	0.00762447	169.435
0.0169013	225.178	0.00768405	168.879
0.0170215	223.979	0.00774384	168.323
0.0171419	222.784	0.00780384	167.768
0.0172626	221.6	0.00786405	167.213
0.0173836	220.43	0.00792447	166.659
0.0175049	219.276	0.0079851	166.105
0.0176264	218.135	0.00804594	165.552
0.0177482	217.002	0.00810699	164.999
0.0178703	215.87	0.00816826	164.447
0.0179927	214.737	0.00822976	163.895
0.0181153	213.611	0.00829148	163.343
0.0182383	212.5	0.00835342	162.792
0.0183615	211.408	0.00841559	162.242
0.018485	210.334	0.00847798	161.692
0.0186088	209.271	0.00854059	161.142
0.0187329	208.212	0.00860343	160.592
0.0188572	207.154	0.00866649	160.043
0.0189819	206.089	0.00872978	159.495
0.0191069	205.008	0.00879332	158.947
0.0192322	203.929	0.00885711	158.399
0.0193578	202.867	0.00892114	157.852
0.0194836	201.824	0.0089854	157.305
0.0196098	200.797	0.00904991	156.759
0.0197363	199.784	0.00911465	156.213
0.0198632	198.781	0.00917964	155.668
0.0199903	197.787	0.00924488	155.123
0.0201177	196.798	0.00931036	154.578
0.0202455	195.811	0.00937609	154.034
0.0203736	194.825	0.00944208	153.49
0.020502	193.843	0.00950832	152.947
0.0206307	192.866	0.00957482	152.404
0.0207598	191.899	0.00964158	151.861
0.0208892	190.94	0.0097086	151.319
0.0210189	189.988	0.00977588	150.777
0.021149	189.041	0.00984342	150.235
0.0212794	188.096	0.00991123	149.694
0.0214101	187.149	0.00997929	149.153
0.0215412	186.197	0.0100476	148.613
0.0216726	185.238	0.0101163	148.073
0.0218044	184.288	0.0101852	147.534
0.0219365	183.354	0.0102543	146.995
0.022069	182.438	0.0103238	146.456
0.0222018	181.538	0.0103935	145.918
0.022335	180.652	0.0104635	145.38
0.0224685	179.773	0.0105338	144.843
0.0226024	178.9	0.0106044	144.306
0.0227367	178.029	0.0106753	143.769
0.0228713	177.158	0.0107464	143.233
0.0230063	176.286	0.0108178	142.696
0.0231416	175.409	0.0108896	142.161
0.0232774	174.533	0.0109616	141.625
0.0234135	173.664	0.0110339	141.091
