# 3D Evrard collapse
# Equivalent 1D problem with 1000 cell co-moving grid
# t = 0.51
# radius	density	radial velocity	pressure
5.34539e-05	4656.81	-5.84529e-05	220.574
0.000160374	4524.78	4.43117e-05	219.405
0.000267287	3703.2	-3.76804e-06	217.779
0.000374206	2479.26	-5.79069e-06	216.156
0.000481132	1885.31	1.23189e-05	214.892
0.000588062	1602.75	1.39511e-05	213.855
0.000695	1420.08	1.1334e-05	212.938
0.000801946	1287.92	7.91078e-06	212.096
0.000908902	1189.8	4.23868e-06	211.304
0.00101587	1114.84	3.80813e-07	210.546
0.00112286	1054.71	-3.55228e-06	209.81
0.00122986	1003.78	-7.38246e-06	209.091
0.00133689	958.728	-1.09484e-05	208.385
0.00144393	917.801	-1.41619e-05	207.69
0.00155101	880.123	-1.69813e-05	207.006
0.00165811	845.324	-1.93981e-05	206.331
0.00176523	813.338	-2.14306e-05	205.666
0.00187239	784.262	-2.31341e-05	205.01
0.00197959	758.175	-2.45968e-05	204.363
0.00208682	734.977	-2.59167e-05	203.723
0.00219408	714.35	-2.71681e-05	203.089
0.00230139	695.854	-2.83978e-05	202.46
0.00240873	679.018	-2.96278e-05	201.835
0.00251612	663.395	-3.08568e-05	201.214
0.00262355	648.623	-3.20636e-05	200.595
0.00273103	634.474	-3.32179e-05	199.98
0.00283856	620.867	-3.42959e-05	199.367
0.00294614	607.817	-3.5289e-05	198.758
0.00305377	595.366	-3.62028e-05	198.152
0.00316146	583.534	-3.70488e-05	197.549
0.0032692	572.303	-3.78377e-05	196.948
0.003377	561.633	-3.85757e-05	196.351
0.00348485	551.482	-3.92639e-05	195.756
0.00359277	541.829	-3.99019e-05	195.164
0.00370076	532.678	-4.0493e-05	194.574
0.0038088	524.04	-4.10495e-05	193.987
0.00391692	515.896	-4.15907e-05	193.401
0.0040251	508.164	-4.21313e-05	192.818
0.00413335	500.717	-4.26709e-05	192.236
0.00424167	493.448	-4.3194e-05	191.655
0.00435007	486.313	-4.36825e-05	191.077
0.00445854	479.337	-4.41272e-05	190.5
0.00456709	472.573	-4.45306e-05	189.925
