# 3D Evrard collapse
# Equivalent 1D problem with 1000 cell co-moving grid
# t = 0.14
# radius	density	radial velocity	pressure
8.68717e-05	644.941	-0.000188062	8.14948
0.000260626	440.567	-0.0006327	8.11924
0.000434459	323.457	-0.00103533	8.0774
0.000608408	271.319	-0.00148664	8.03788
0.000782537	238.548	-0.0019307	7.99766
0.000956903	213.676	-0.00238045	7.95792
0.00113156	194.062	-0.00283409	7.91873
0.00130657	178.653	-0.00329259	7.8802
0.00148197	166.587	-0.0037566	7.84222
0.00165782	157.011	-0.00422634	7.80461
0.00183416	149.156	-0.00470175	7.76719
0.00201103	142.435	-0.00518257	7.72986
0.00218848	136.459	-0.00566844	7.69256
0.00236655	131.002	-0.006159	7.65529
0.00254527	125.941	-0.00665386	7.6181
0.00272467	121.214	-0.00715266	7.58101
0.0029048	116.792	-0.00765505	7.54406
0.00308566	112.666	-0.00816069	7.50729
0.0032673	108.846	-0.00866928	7.47071
0.00344973	105.35	-0.00918056	7.43431
0.00363298	102.184	-0.00969433	7.39806
0.00381705	99.3278	-0.0102104	7.36192
0.00400196	96.7439	-0.0107286	7.32585
0.00418773	94.3844	-0.0112489	7.28979
0.00437435	92.2026	-0.0117711	7.25372
0.00456184	90.1545	-0.012295	7.2176
0.0047502	88.2015	-0.0128205	7.18142
0.00493944	86.3157	-0.0133475	7.14519
0.00512953	84.4851	-0.013876	7.10891
0.00532049	82.7122	-0.014406	7.07259
0.00551231	81.0057	-0.0149376	7.03624
0.00570498	79.3713	-0.0154708	6.99986
0.00589849	77.8098	-0.0160057	6.96345
0.00609282	76.3184	-0.0165424	6.92702
0.00628797	74.8919	-0.017081	6.89057
0.00648392	73.5247	-0.0176216	6.8541
0.00668066	72.2152	-0.0181643	6.81762
0.00687816	70.9636	-0.0187093	6.78113
0.00707641	69.7701	-0.0192566	6.74463
0.00727539	68.6355	-0.0198064	6.70812
0.00747508	67.5566	-0.0203588	6.67161
0.00767546	66.5191	-0.0209138	6.63511
0.00787651	65.5017	-0.0214715	6.59861
0.00807821	64.4942	-0.0220319	6.56215
0.00828054	63.5016	-0.022595	6.52574
0.00848348	62.5349	-0.0231607	6.48941
0.008687	61.601	-0.0237292	6.45317
0.00889109	60.7007	-0.0243004	6.41703
0.00909572	59.8314	-0.0248742	6.381
0.00930087	58.9881	-0.0254506	6.34507
0.00950652	58.1638	-0.0260297	6.30927
0.00971266	57.3528	-0.0266113	6.27359
0.00991926	56.555	-0.0271954	6.23807
0.0101263	55.7791	-0.0277821	6.20269
0.0103338	55.0377	-0.0283712	6.16746
0.0105417	54.3357	-0.0289628	6.13238
0.0107499	53.6638	-0.029557	6.09743
0.0109586	53.0072	-0.0301538	6.0626
