# 3D Evrard collapse
# Equivalent 1D problem with 1000 cell co-moving grid
# t = 0.16
# radius	density	radial velocity	pressure
7.61339e-05	1032.57	-0.000196473	17.8592
0.000228404	707.865	-0.000657053	17.8003
0.000380716	515.158	-0.00107006	17.7202
0.000533084	431.435	-0.0015219	17.6446
0.000685544	378.87	-0.00196291	17.5686
0.000838127	339.118	-0.00239762	17.4936
0.000990862	307.993	-0.00282668	17.42
0.00114378	283.725	-0.00325143	17.3478
0.0012969	264.824	-0.00367275	17.2766
0.00145026	249.836	-0.00409124	17.206
0.00160387	237.507	-0.00450717	17.1357
0.00175776	226.909	-0.00492089	17.0655
0.00191197	217.451	-0.00533238	16.9952
0.0020665	208.798	-0.00574191	16.925
0.00222139	200.773	-0.00614978	16.8547
0.00237665	193.285	-0.00655618	16.7847
0.0025323	186.296	-0.00696141	16.7147
0.00268837	179.803	-0.00736581	16.6451
0.00284486	173.829	-0.00776974	16.5757
0.00300181	168.395	-0.00817359	16.5065
0.00315921	163.496	-0.00857767	16.4375
0.00331709	159.086	-0.00898233	16.3686
0.00347546	155.094	-0.00938804	16.2998
0.00363432	151.441	-0.00979495	16.2309
0.00379369	148.051	-0.0102033	16.162
0.00395358	144.855	-0.0106132	16.0929
0.004114	141.795	-0.011025	16.0238
0.00427494	138.836	-0.011439	15.9545
0.00443641	135.968	-0.0118551	15.8852
0.00459843	133.199	-0.0122738	15.8159
0.00476098	130.541	-0.0126951	15.7466
0.00492407	128.002	-0.0131191	15.6774
0.0050877	125.578	-0.0135459	15.6081
0.00525186	123.263	-0.0139756	15.5389
0.00541656	121.05	-0.0144083	15.4698
0.00558179	118.93	-0.0148439	15.4007
0.00574755	116.903	-0.0152826	15.3317
0.00591383	114.968	-0.0157243	15.2628
0.00608062	113.128	-0.016169	15.1939
0.00624792	111.381	-0.0166167	15.1251
0.00641572	109.716	-0.0170674	15.0564
0.00658401	108.106	-0.0175211	14.9877
0.00675278	106.522	-0.0179776	14.9191
0.00692203	104.954	-0.0184368	14.8507
0.00709174	103.413	-0.0188988	14.7824
0.00726191	101.917	-0.0193634	14.7142
0.00743252	100.472	-0.0198305	14.6463
0.00760356	99.0786	-0.0203002	14.5785
0.00777503	97.7326	-0.0207721	14.5108
0.00794691	96.4244	-0.0212465	14.4434
0.00811919	95.143	-0.021723	14.3761
0.00829187	93.8806	-0.0222017	14.309
0.00846493	92.6399	-0.0226824	14.2422
0.00863836	91.4367	-0.023165	14.1755
0.00881216	90.2899	-0.0236496	14.1091
0.00898631	89.2034	-0.0241361	14.0428
0.00916081	88.1603	-0.0246243	13.9767
0.00933565	87.1388	-0.0251144	13.9107
0.00951082	86.1327	-0.0256061	13.845
0.00968632	85.1511	-0.0260996	13.7793
0.00986213	84.198	-0.0265946	13.7139
