# 3D Evrard collapse
# Equivalent 1D problem with 1000 cell co-moving grid
# t = 0.57
# radius	density	radial velocity	pressure
5.38507e-05	4785.48	-6.40501e-05	230.969
0.000161564	4696.18	3.1939e-05	229.705
0.000269272	4069.78	-4.18411e-05	227.849
0.000376989	2863.36	-3.86614e-05	225.843
0.000484714	2059.2	-1.86426e-05	224.249
0.000592444	1698.98	-1.88987e-05	222.998
0.000700179	1487.14	-2.69396e-05	221.929
0.000807921	1339.62	-3.74123e-05	220.966
0.000915673	1231.84	-4.86487e-05	220.074
0.00102344	1150.59	-6.02807e-05	219.23
0.00113121	1086.27	-7.20754e-05	218.418
0.00123901	1032.37	-8.37964e-05	217.63
0.00134682	985.025	-9.52341e-05	216.859
0.00145466	942.206	-0.000106279	216.103
0.00156252	902.891	-0.000116882	215.361
0.0016704	866.643	-0.000127033	214.632
0.00177832	833.365	-0.000136754	213.915
0.00188626	803.147	-0.000146107	213.21
0.00199424	776.066	-0.000155189	212.515
0.00210225	752.01	-0.000164104	211.829
0.0022103	730.655	-0.000172936	211.15
0.00231839	711.532	-0.000181739	210.478
0.00242652	694.135	-0.000190537	209.81
0.00253469	677.993	-0.000199328	209.147
0.00264291	662.727	-0.00020809	208.488
0.00275117	648.107	-0.000216793	207.832
0.00285948	634.056	-0.000225413	207.18
0.00296785	620.594	-0.000233946	206.532
0.00307626	607.764	-0.000242398	205.888
0.00318473	595.582	-0.000250783	205.247
0.00329325	584.024	-0.000259113	204.61
0.00340183	573.047	-0.000267395	203.976
0.00351047	562.609	-0.000275629	203.345
0.00361918	552.693	-0.000283816	202.717
0.00372794	543.307	-0.000291963	202.092
0.00383678	534.46	-0.000300083	201.47
0.00394567	526.117	-0.000308201	200.85
0.00405464	518.176	-0.000316326	200.232
0.00416368	510.506	-0.000324456	199.615
0.00427279	503.007	-0.000332572	199.001
0.00438198	495.653	-0.000340658	198.389
0.00449124	488.481	-0.000348708	197.78
0.00460057	481.545	-0.000356727	197.172
0.00470999	474.874	-0.000364727	196.566
0.00481949	468.454	-0.00037272	195.963
0.00492908	462.236	-0.00038071	195.361
0.00503874	456.163	-0.00038869	194.762
0.0051485	450.206	-0.000396647	194.164
0.00525834	444.395	-0.000404573	193.569
0.00536828	438.79	-0.000412471	192.975
0.0054783	433.438	-0.000420358	192.384
0.00558842	428.335	-0.000428249	191.794
0.00569864	423.435	-0.000436147	191.206
0.00580895	418.687	-0.000444048	190.619
0.00591937	414.067	-0.000451947	190.034
0.00602988	409.575	-0.000459845	189.45
0.0061405	405.212	-0.000467744	188.867
0.00625122	400.965	-0.000475649	188.286
0.00636205	396.813	-0.00048356	187.707
0.00647298	392.729	-0.000491476	187.128
0.00658403	388.696	-0.00049939	186.551
0.00669519	384.713	-0.0005073	185.975
0.00680646	380.791	-0.000515204	185.401
0.00691784	376.94	-0.000523105	184.828
0.00702935	373.159	-0.000531006	184.256
0.00714097	369.44	-0.000538907	183.686
0.00725271	365.772	-0.000546806	183.118
0.00736458	362.152	-0.000554697	182.551
0.00747657	358.598	-0.000562576	181.985
0.00758869	355.145	-0.000570444	181.422
0.00770093	351.825	-0.000578308	180.859
0.00781331	348.653	-0.00058618	180.298
0.00792581	345.61	-0.00059407	179.738
0.00803845	342.655	-0.000601982	179.179
0.00815122	339.736	-0.00060991	178.621
0.00826413	336.825	-0.000617844	178.064
0.00837718	333.926	-0.000625775	177.509
0.00849037	331.071	-0.000633701	176.954
0.0086037	328.293	-0.000641629	176.401
0.00871718	325.606	-0.000649569	175.848
0.0088308	322.993	-0.000657527	175.297
0.00894457	320.424	-0.000665502	174.746
0.00905849	317.868	-0.000673494	174.197
0.00917256	315.302	-0.000681502	173.648
0.00928679	312.696	-0.000689496	173.101
0.00940116	310.122	-0.000697479	172.555
0.0095157	307.627	-0.000705464	172.01
0.00963039	305.218	-0.00071346	171.466
0.00974525	302.887	-0.000721469	170.923
0.00986026	300.619	-0.000729493	170.381
0.00997545	298.398	-0.000737535	169.84
0.0100908	296.204	-0.000745593	169.3
0.0102063	294.023	-0.000753666	168.76
0.010322	291.843	-0.000761755	168.222
0.0104378	289.649	-0.000769852	167.684
0.0105539	287.447	-0.000777942	167.148
0.0106701	285.281	-0.000786036	166.612
0.0107865	283.167	-0.000794138	166.078
0.010903	281.104	-0.000802253	165.544
0.0110198	279.086	-0.000810381	165.012
0.0111367	277.107	-0.000818519	164.48
0.0112538	275.17	-0.000826668	163.95
0.0113711	273.279	-0.000834832	163.42
0.0114886	271.43	-0.000843013	162.891
0.0116063	269.613	-0.000851215	162.362
0.0117241	267.811	-0.000859437	161.834
0.0118422	266.014	-0.000867677	161.308
0.0119604	264.209	-0.00087594	160.781
0.0120789	262.373	-0.000884207	160.256
0.0121975	260.53	-0.000892468	159.732
0.0123164	258.728	-0.000900737	159.208
0.0124355	256.976	-0.000909018	158.686
0.0125547	255.278	-0.000917315	158.164
0.0126742	253.626	-0.000925631	157.643
0.0127939	252.009	-0.000933969	157.123
0.0129138	250.417	-0.000942327	156.604
0.0130339	248.84	-0.000950704	156.085
0.0131542	247.274	-0.000959099	155.567
0.0132747	245.718	-0.000967512	155.049
0.0133955	244.171	-0.000975942	154.532
0.0135165	242.63	-0.000984391	154.016
0.0136377	241.093	-0.000992858	153.501
0.0137591	239.556	-0.00100134	152.986
0.0138808	238.019	-0.00100984	152.472
0.0140027	236.485	-0.00101835	151.959
0.0141248	234.963	-0.00102688	151.447
0.0142471	233.461	-0.00103541	150.935
0.0143697	231.987	-0.00104396	150.425
0.0144925	230.544	-0.00105253	149.915
0.0146156	229.133	-0.00106112	149.405
0.0147389	227.753	-0.00106973	148.897
0.0148624	226.401	-0.00107836	148.389
0.0149862	225.073	-0.00108701	147.882
0.0151103	223.762	-0.00109569	147.375
0.0152345	222.459	-0.0011044	146.869
0.0153591	221.159	-0.00111312	146.363
0.0154839	219.857	-0.00112188	145.858
0.0156089	218.541	-0.00113065	145.354
0.0157342	217.226	-0.00113942	144.85
0.0158598	215.93	-0.00114822	144.347
0.0159856	214.656	-0.00115704	143.845
0.0161117	213.403	-0.00116588	143.343
0.0162381	212.169	-0.00117474	142.842
0.0163647	210.951	-0.00118363	142.342
0.0164916	209.745	-0.00119255	141.842
0.0166187	208.548	-0.00120149	141.342
0.0167462	207.354	-0.00121045	140.843
0.0168739	206.164	-0.00121944	140.345
0.0170019	204.978	-0.00122844	139.848
0.0171301	203.8	-0.00123747	139.351
0.0172587	202.636	-0.00124652	138.854
0.0173875	201.485	-0.00125559	138.359
0.0175167	200.347	-0.0012647	137.863
0.0176461	199.219	-0.00127382	137.369
0.0177758	198.097	-0.00128298	136.875
0.0179058	196.982	-0.00129215	136.381
