# 3D Evrard collapse
# Equivalent 1D problem with 1000 cell co-moving grid
# t = 0.39
# radius	density	radial velocity	pressure
4.71724e-05	6098.76	-2.50081e-05	345.358
0.000141526	5670.33	0.000144074	343.843
0.000235873	3967.97	0.000153478	342.068
0.000330224	2769.48	0.000217809	340.451
0.000424577	2302.86	0.000276935	339.152
0.000518936	2022.14	0.000331756	337.989
0.000613301	1817.42	0.000387208	336.907
0.000707675	1663.67	0.000443498	335.88
0.00080206	1547.2	0.000500205	334.892
0.000896457	1456.44	0.000557058	333.929
0.000990868	1382.28	0.00061403	332.983
0.0010853	1318.55	0.000671212	332.049
0.00117974	1261.63	0.000728703	331.124
0.00127421	1209.61	0.000786567	330.207
0.00136869	1161.54	0.000844837	329.299
0.0014632	1117.03	0.000903521	328.401
0.00155773	1076.01	0.000962608	327.511
0.00165229	1038.64	0.00102205	326.631
0.00174688	1005.01	0.00108179	325.76
0.0018415	975.021	0.00114173	324.896
0.00193614	948.302	0.00120181	324.038
0.00203082	924.323	0.001262	323.186
0.00212553	902.503	0.00132227	322.337
0.00222028	882.282	0.00138264	321.491
0.00231506	863.191	0.00144311	320.648
0.00240988	844.914	0.00150371	319.807
0.00250473	827.316	0.00156448	318.97
0.00259963	810.399	0.00162543	318.135
0.00269457	794.22	0.00168656	317.304
0.00278955	778.818	0.00174785	316.476
0.00288458	764.185	0.0018093	315.651
0.00297965	750.277	0.00187091	314.829
0.00307477	737.038	0.00193267	314.009
0.00316994	724.43	0.00199459	313.193
0.00326516	712.444	0.00205667	312.379
0.00336043	701.094	0.00211889	311.567
0.00345575	690.385	0.00218125	310.758
0.00355112	680.259	0.00224374	309.951
0.00364655	670.581	0.00230633	309.145
0.00374204	661.187	0.00236905	308.341
0.00383759	651.967	0.0024319	307.539
0.00393319	642.911	0.00249492	306.738
0.00402885	634.076	0.00255809	305.94
0.00412458	625.53	0.00262141	305.143
0.00422037	617.308	0.00268489	304.349
0.00431622	609.393	0.00274849	303.557
0.00441214	601.728	0.00281223	302.766
0.00450813	594.241	0.00287611	301.977
0.00460418	586.885	0.00294013	301.19
0.00470031	579.679	0.00300432	300.405
0.0047965	572.7	0.00306867	299.623
0.00489277	566.029	0.00313316	298.842
0.00498911	559.684	0.00319779	298.063
0.00508553	553.607	0.00326254	297.285
0.00518202	547.721	0.00332742	296.509
0.00527859	541.98	0.00339244	295.734
0.00537524	536.383	0.00345759	294.961
0.00547197	530.94	0.00352288	294.189
0.00556878	525.649	0.00358831	293.418
0.00566567	520.487	0.00365387	292.648
0.00576265	515.423	0.00371956	291.88
0.00585971	510.425	0.00378538	291.113
0.00595686	505.478	0.00385135	290.347
0.0060541	500.589	0.00391746	289.582
0.00615143	495.775	0.00398372	288.82
0.00624884	491.051	0.00405012	288.058
0.00634635	486.415	0.00411667	287.298
0.00644396	481.853	0.00418335	286.54
0.00654165	477.352	0.00425018	285.783
0.00663945	472.909	0.00431715	285.027
0.00673734	468.542	0.00438428	284.273
0.00683533	464.293	0.00445157	283.521
0.00693342	460.205	0.004519	282.771
0.00703161	456.304	0.00458658	282.021
0.00712991	452.572	0.00465428	281.273
0.0072283	448.952	0.00472211	280.526
0.00732681	445.383	0.00479006	279.78
0.00742542	441.82	0.00485816	279.035
0.00752414	438.24	0.00492641	278.291
0.00762296	434.694	0.00499482	277.548
0.0077219	431.236	0.00506338	276.806
0.00782095	427.896	0.00513208	276.066
0.00792012	424.668	0.00520092	275.326
0.0080194	421.513	0.0052699	274.588
0.00811879	418.385	0.00533902	273.85
0.00821831	415.252	0.00540827	273.113
0.00831794	412.052	0.00547768	272.378
0.00841769	408.821	0.00554727	271.643
0.00851757	405.687	0.00561703	270.91
0.00861757	402.671	0.00568694	270.178
0.00871769	399.761	0.00575699	269.448
0.00881794	396.937	0.0058272	268.718
0.00891832	394.176	0.00589755	267.989
0.00901882	391.463	0.00596806	267.261
0.00911946	388.779	0.00603872	266.533
0.00922023	386.106	0.00610954	265.807
0.00932113	383.433	0.0061805	265.082
0.00942217	380.729	0.00625164	264.357
0.00952334	377.999	0.00632295	263.634
0.00962465	375.324	0.00639445	262.912
0.0097261	372.729	0.0064661	262.19
0.00982769	370.21	0.00653792	261.47
0.00992942	367.744	0.00660991	260.751
0.0100313	365.316	0.00668206	260.033
0.0101333	362.926	0.00675439	259.316
0.0102355	360.589	0.0068269	258.599
0.0103378	358.311	0.00689957	257.884
0.0104403	356.082	0.00697241	257.169
0.0105429	353.879	0.00704543	256.454
0.0106456	351.682	0.00711861	255.741
0.0107486	349.474	0.00719197	255.028
0.0108516	347.217	0.00726551	254.316
0.0109549	344.931	0.00733926	253.605
0.0110583	342.688	0.0074132	252.895
0.0111618	340.503	0.00748733	252.186
0.0112655	338.385	0.00756166	251.478
0.0113694	336.333	0.00763616	250.771
0.0114735	334.335	0.00771086	250.065
0.0115777	332.375	0.00778574	249.359
0.011682	330.435	0.00786082	248.654
0.0117866	328.507	0.00793609	247.949
0.0118913	326.587	0.00801156	247.245
0.0119962	324.676	0.00808723	246.542
0.0121013	322.776	0.0081631	245.84
0.0122065	320.884	0.00823917	245.138
0.0123119	318.997	0.00831545	244.437
0.0124175	317.112	0.00839194	243.736
0.0125233	315.225	0.00846864	243.037
0.0126292	313.34	0.00854555	242.338
0.0127354	311.465	0.00862269	241.64
0.0128417	309.613	0.00870004	240.943
0.0129482	307.797	0.00877762	240.247
0.0130549	306.023	0.00885542	239.551
0.0131618	304.29	0.00893344	238.857
0.0132689	302.594	0.00901167	238.162
0.0133762	300.929	0.00909014	237.469
0.0134837	299.293	0.00916882	236.776
0.0135914	297.682	0.00924774	236.084
0.0136993	296.089	0.00932687	235.392
0.0138073	294.502	0.00940624	234.7
0.0139156	292.914	0.00948583	234.01
0.0140241	291.304	0.00956565	233.319
0.0141328	289.665	0.00964574	232.63
0.0142417	288.051	0.00972607	231.941
0.0143508	286.472	0.00980664	231.253
0.0144601	284.925	0.00988745	230.565
0.0145696	283.401	0.0099685	229.878
0.0146794	281.895	0.0100498	229.191
0.0147894	280.403	0.0101314	228.505
0.0148995	278.927	0.0102132	227.82
0.01501	277.462	0.0102952	227.135
0.0151206	276.004	0.0103775	226.451
0.0152314	274.547	0.0104601	225.767
