# 3D Evrard collapse
# Equivalent 1D problem with 1000 cell co-moving grid
# t = 1.0
# radius	density	radial velocity	pressure
5.81569e-05	5719.77	-8.44465e-05	312.746
0.000174487	5689.33	3.33781e-05	310.616
0.000290812	5595.53	-0.000127674	307.108
0.000407161	5393.94	-8.13189e-05	301.859
0.000523528	4970.81	-7.13982e-05	295.505
0.00063991	4227.56	-0.000151637	288.849
0.000756323	3226.19	-0.000173331	282.877
0.000872771	2393.78	-0.000111896	278.217
0.000989243	1895.55	-5.94318e-05	274.724
0.00110573	1599.26	-3.21957e-05	271.963
0.00122223	1415.38	-2.34503e-05	269.658
0.00133873	1292.57	-2.61005e-05	267.648
0.00145524	1202.93	-3.44334e-05	265.839
0.00157177	1131.56	-4.59189e-05	264.175
0.0016883	1070.94	-5.88458e-05	262.623
0.00180486	1017.44	-7.22431e-05	261.163
0.00192143	969.474	-8.56135e-05	259.78
0.00203802	926.468	-9.86857e-05	258.463
0.00215464	888.322	-0.000111421	257.203
0.00227129	854.902	-0.000123897	255.99
0.00238797	825.785	-0.000136217	254.819
0.00250468	800.281	-0.000148445	253.681
0.00262143	777.579	-0.000160606	252.571
0.00273822	756.894	-0.000172682	251.485
0.00285505	737.587	-0.000184618	250.421
0.00297192	719.264	-0.00019635	249.377
0.00308884	701.794	-0.000207838	248.35
0.00320581	685.193	-0.00021908	247.34
0.00332283	669.505	-0.000230098	246.345
0.0034399	654.718	-0.00024092	245.365
0.00355704	640.772	-0.000251565	244.398
0.00367423	627.597	-0.000262038	243.443
0.00379148	615.158	-0.000272344	242.5
0.0039088	603.464	-0.000282498	241.567
0.00402618	592.515	-0.000292535	240.643
0.00414363	582.236	-0.000302492	239.729
0.00426115	572.467	-0.000312382	238.822
0.00437875	563.036	-0.000322194	237.922
0.00449642	553.845	-0.000331903	237.03
0.00461417	544.898	-0.000341494	236.145
0.004732	536.252	-0.000350975	235.266
0.00484991	527.953	-0.000360366	234.395
0.0049679	519.984	-0.000369687	233.529
0.00508598	512.282	-0.000378943	232.669
0.00520415	504.782	-0.000388125	231.816
0.00532241	497.472	-0.000397218	230.968
0.00544076	490.398	-0.000406221	230.125
0.00555921	483.618	-0.00041515	229.288
0.00567775	477.155	-0.000424025	228.456
0.00579639	470.982	-0.000432859	227.628
0.00591513	465.049	-0.000441653	226.805
0.00603398	459.32	-0.000450405	225.986
0.00615293	453.776	-0.000459117	225.171
0.00627199	448.406	-0.000467794	224.36
0.00639115	443.188	-0.000476439	223.553
0.00651043	438.092	-0.000485053	222.749
0.00662982	433.09	-0.000493633	221.948
0.00674933	428.17	-0.000502173	221.151
0.00686895	423.335	-0.000510672	220.358
0.00698869	418.588	-0.000519133	219.568
0.00710856	413.929	-0.000527558	218.782
0.00722854	409.344	-0.000535948	217.999
0.00734865	404.824	-0.000544296	217.219
0.00746889	400.377	-0.000552597	216.443
0.00758926	396.034	-0.000560846	215.67
0.00770976	391.838	-0.000569049	214.901
0.00783039	387.817	-0.000577221	214.135
0.00795115	383.969	-0.000585375	213.371
0.00807206	380.253	-0.000593518	212.611
0.0081931	376.62	-0.000601647	211.853
0.00831428	373.035	-0.000609752	211.097
0.0084356	369.493	-0.000617823	210.345
0.00855707	366.017	-0.000625858	209.594
0.00867869	362.633	-0.000633865	208.847
0.00880045	359.348	-0.000641851	208.101
0.00892237	356.144	-0.000649824	207.358
0.00904444	352.986	-0.000657782	206.617
0.00916666	349.841	-0.00066572	205.879
0.00928903	346.694	-0.000673623	205.142
0.00941157	343.566	-0.000681484	204.409
0.00953426	340.498	-0.000689304	203.677
0.00965712	337.519	-0.000697091	202.948
0.00978014	334.639	-0.000704853	202.221
0.00990333	331.848	-0.000712596	201.497
0.0100267	329.126	-0.000720323	200.774
0.0101502	326.444	-0.000728034	200.053
0.0102739	323.779	-0.000735723	199.334
0.0103978	321.118	-0.000743385	198.617
0.0105218	318.461	-0.000751013	197.902
0.010646	315.824	-0.000758604	197.19
0.0107704	313.226	-0.00076616	196.479
0.010895	310.68	-0.000773683	195.771
0.0110198	308.192	-0.000781175	195.064
0.0111447	305.766	-0.000788637	194.359
0.0112699	303.404	-0.000796072	193.657
0.0113952	301.103	-0.000803484	192.956
0.0115207	298.854	-0.000810874	192.256
0.0116464	296.641	-0.000818245	191.559
0.0117723	294.446	-0.000825595	190.863
0.0118984	292.257	-0.000832921	190.168
0.0120247	290.062	-0.000840221	189.476
0.0121512	287.854	-0.000847477	188.785
0.0122779	285.669	-0.000854692	188.096
0.0124048	283.53	-0.00086187	187.408
0.0125319	281.448	-0.000869018	186.723
0.0126592	279.422	-0.000876139	186.039
0.0127868	277.445	-0.000883234	185.357
0.0129145	275.506	-0.000890304	184.676
0.0130424	273.598	-0.000897348	183.997
0.0131706	271.712	-0.000904366	183.319
0.013299	269.842	-0.000911356	182.642
0.0134276	267.983	-0.000918319	181.967
0.0135564	266.13	-0.000925251	181.294
0.0136855	264.277	-0.000932151	180.622
0.0138147	262.427	-0.000939015	179.951
0.0139442	260.581	-0.00094584	179.283
0.0140739	258.749	-0.000952625	178.615
0.0142039	256.939	-0.00095937	177.95
0.0143341	255.16	-0.000966074	177.286
0.0144645	253.419	-0.000972739	176.623
0.0145952	251.72	-0.000979368	175.962
0.0147261	250.061	-0.000985961	175.302
0.0148572	248.438	-0.000992521	174.644
0.0149886	246.843	-0.000999049	173.987
0.0151202	245.266	-0.00100554	173.331
0.0152521	243.697	-0.001012	172.676
0.0153842	242.13	-0.00101842	172.023
0.0155165	240.562	-0.0010248	171.371
0.0156491	239.0	-0.00103112	170.721
0.015782	237.453	-0.0010374	170.071
0.0159151	235.927	-0.00104363	169.423
0.0160485	234.426	-0.00104981	168.777
0.0161821	232.947	-0.00105594	168.131
0.016316	231.487	-0.00106203	167.487
0.0164502	230.041	-0.00106807	166.844
0.0165846	228.606	-0.00107406	166.203
0.0167193	227.181	-0.00108	165.562
0.0168543	225.765	-0.00108588	164.923
0.0169895	224.362	-0.0010917	164.285
0.017125	222.971	-0.00109747	163.649
0.0172608	221.594	-0.00110318	163.013
0.0173968	220.23	-0.00110882	162.379
0.0175332	218.878	-0.00111441	161.746
0.0176698	217.54	-0.00111993	161.114
0.0178067	216.216	-0.00112538	160.484
0.0179438	214.906	-0.00113077	159.854
0.0180813	213.61	-0.00113609	159.226
0.018219	212.326	-0.00114134	158.599
0.0183571	211.051	-0.00114652	157.973
0.0184954	209.785	-0.00115163	157.348
0.018634	208.53	-0.00115666	156.725
0.0187729	207.287	-0.00116161	156.102
0.0189121	206.06	-0.00116649	155.481
0.0190517	204.85	-0.00117128	154.861
0.0191915	203.655	-0.00117599	154.242
0.0193316	202.471	-0.00118063	153.624
0.019472	201.295	-0.00118518	153.007
0.0196127	200.121	-0.00118965	152.391
0.0197538	198.948	-0.00119403	151.777
0.0198951	197.777	-0.00119832	151.163
0.0200367	196.612	-0.00120251	150.55
0.0201787	195.459	-0.0012066	149.939
0.020321	194.319	-0.00121059	149.329
0.0204636	193.195	-0.00121449	148.72
0.0206065	192.083	-0.00121829	148.112
0.0207498	190.983	-0.00122199	147.505
0.0208933	189.892	-0.00122559	146.899
0.0210372	188.808	-0.00122909	146.294
0.0211814	187.733	-0.00123247	145.69
0.021326	186.666	-0.00123575	145.088
0.0214709	185.609	-0.00123892	144.486
0.0216161	184.561	-0.00124198	143.885
0.0217616	183.52	-0.00124493	143.286
0.0219075	182.484	-0.00124777	142.687
0.0220537	181.45	-0.0012505	142.09
