# 3D Evrard collapse
# Equivalent 1D problem with 1000 cell co-moving grid
# t = 0.4
# radius	density	radial velocity	pressure
4.81977e-05	5772.97	-2.68324e-05	315.196
0.000144602	5398.73	0.000138025	313.774
0.000241001	3829.13	0.000145134	312.078
0.000337402	2646.97	0.000207176	310.525
0.000433807	2188.66	0.000264266	309.287
0.000530217	1918.38	0.000316165	308.186
0.000626634	1722.59	0.00036849	307.164
0.00072306	1575.84	0.000421574	306.198
0.000819498	1464.81	0.000475035	305.27
0.000915948	1378.42	0.000528612	304.366
0.00101241	1307.92	0.000582278	303.479
0.00110889	1247.38	0.000636128	302.604
0.00120539	1193.35	0.000690261	301.738
0.00130191	1144.0	0.000744738	300.88
0.00139846	1098.4	0.000799594	300.031
0.00149502	1056.18	0.000854836	299.191
0.00159162	1017.29	0.00091045	298.36
0.00168824	981.856	0.000966391	297.538
0.00178488	949.989	0.00102258	296.724
0.00188156	921.575	0.00107895	295.917
0.00197827	896.262	0.00113542	295.116
0.00207501	873.545	0.00119196	294.32
0.00217179	852.87	0.00124855	293.527
0.0022686	833.706	0.00130519	292.738
0.00236546	815.61	0.0013619	291.951
0.00246235	798.284	0.00141871	291.167
0.00255928	781.603	0.00147565	290.386
0.00265625	765.571	0.00153273	289.608
0.00275327	750.242	0.00158994	288.833
0.00285033	735.651	0.00164729	288.06
0.00294744	721.79	0.00170476	287.291
0.00304459	708.616	0.00176235	286.525
0.0031418	696.077	0.00182006	285.761
0.00323905	684.136	0.00187789	285.0
0.00333636	672.786	0.00193584	284.242
0.00343372	662.042	0.00199391	283.485
0.00353114	651.906	0.00205207	282.731
0.00362861	642.319	0.00211032	281.979
0.00372614	633.149	0.00216866	281.229
0.00382373	624.242	0.00222708	280.48
0.00392138	615.5	0.00228561	279.733
0.00401909	606.915	0.00234427	278.987
0.00411687	598.545	0.00240305	278.244
0.00421471	590.453	0.00246196	277.502
0.00431261	582.669	0.00252099	276.763
0.00441058	575.174	0.00258012	276.025
0.00450862	567.912	0.00263936	275.289
0.00460674	560.813	0.00269871	274.555
0.00470492	553.839	0.00275818	273.822
0.00480317	547.013	0.00281779	273.092
0.0049015	540.41	0.00287753	272.364
0.00499991	534.103	0.0029374	271.637
0.00509839	528.101	0.00299737	270.912
0.00519695	522.348	0.00305745	270.189
0.00529559	516.772	0.00311763	269.467
0.00539432	511.333	0.00317794	268.746
0.00549312	506.031	0.00323836	268.027
0.00559201	500.877	0.0032989	267.309
0.00569098	495.866	0.00335955	266.592
0.00579004	490.975	0.00342032	265.876
0.00588919	486.173	0.0034812	265.161
0.00598842	481.433	0.00354221	264.448
0.00608775	476.741	0.00360334	263.736
0.00618717	472.106	0.0036646	263.025
0.00628668	467.545	0.00372599	262.316
0.00638629	463.069	0.00378751	261.608
0.00648599	458.676	0.00384915	260.902
0.00658579	454.352	0.00391093	260.197
0.00668569	450.084	0.00397284	259.493
0.00678569	445.872	0.00403488	258.791
0.0068858	441.738	0.00409707	258.091
0.006986	437.72	0.00415941	257.392
0.00708631	433.86	0.00422188	256.695
0.00718673	430.178	0.00428448	255.998
0.00728725	426.649	0.00434719	255.303
0.00738788	423.22	0.00441003	254.609
0.00748862	419.831	0.00447299	253.916
0.00758947	416.444	0.00453607	253.224
0.00769044	413.045	0.00459931	252.533
0.00779152	409.687	0.00466269	251.843
0.00789271	406.419	0.00472622	251.154
0.00799403	403.264	0.00478988	250.466
0.00809546	400.209	0.00485367	249.779
0.00819701	397.217	0.00491759	249.093
0.00829868	394.246	0.00498164	248.408
0.00840048	391.266	0.00504582	247.724
0.0085024	388.214	0.00511016	247.041
0.00860444	385.158	0.00517467	246.359
0.00870661	382.199	0.00523933	245.679
0.00880892	379.351	0.00530413	244.999
0.00891135	376.601	0.00536908	244.321
0.00901391	373.929	0.00543417	243.643
0.00911661	371.315	0.0054994	242.966
0.00921944	368.742	0.00556477	242.291
0.0093224	366.195	0.00563029	241.615
0.00942551	363.657	0.00569595	240.941
0.00952875	361.115	0.00576176	240.268
0.00963213	358.538	0.00582773	239.595
0.00973566	355.951	0.00589387	238.924
0.00983933	353.425	0.00596018	238.254
0.00994314	350.974	0.00602664	237.585
0.0100471	348.591	0.00609325	236.917
0.0101512	346.254	0.00616002	236.249
0.0102555	343.953	0.00622695	235.583
0.0103599	341.692	0.00629404	234.917
0.0104644	339.482	0.00636129	234.252
0.0105692	337.328	0.0064287	233.588
0.010674	335.216	0.00649626	232.925
0.0107791	333.124	0.00656398	232.262
0.0108842	331.036	0.00663186	231.6
0.0109896	328.932	0.00669989	230.939
0.0110951	326.777	0.00676811	230.279
0.0112008	324.611	0.00683651	229.619
0.0113066	322.491	0.00690509	228.961
0.0114126	320.429	0.00697384	228.303
0.0115188	318.43	0.00704276	227.647
0.0116251	316.493	0.00711186	226.991
0.0117317	314.603	0.00718112	226.336
0.0118384	312.744	0.00725055	225.681
0.0119452	310.903	0.00732015	225.027
0.0120523	309.072	0.00738993	224.374
0.0121595	307.25	0.00745989	223.721
0.0122669	305.436	0.00753002	223.069
0.0123745	303.632	0.00760034	222.417
0.0124822	301.836	0.00767084	221.767
0.0125902	300.043	0.00774152	221.116
0.0126983	298.252	0.00781239	220.467
0.0128066	296.459	0.00788345	219.819
0.0129151	294.668	0.0079547	219.171
0.0130239	292.892	0.00802615	218.524
0.0131328	291.14	0.00809779	217.878
0.0132418	289.425	0.00816963	217.232
0.0133511	287.749	0.00824166	216.588
0.0134606	286.111	0.00831388	215.944
0.0135703	284.506	0.0083863	215.3
0.0136802	282.931	0.00845892	214.657
0.0137903	281.383	0.00853173	214.015
0.0139006	279.857	0.00860473	213.374
0.0140111	278.344	0.00867794	212.732
0.0141218	276.835	0.00875134	212.092
0.0142328	275.321	0.00882495	211.451
0.0143439	273.782	0.00889876	210.812
0.0144553	272.228	0.0089728	210.173
0.0145668	270.704	0.00904705	209.535
0.0146786	269.212	0.00912151	208.897
0.0147906	267.748	0.00919618	208.26
0.0149029	266.304	0.00927107	207.623
0.0150153	264.876	0.00934617	206.987
0.015128	263.463	0.00942149	206.352
0.0152409	262.063	0.00949703	205.717
0.0153541	260.673	0.00957279	205.082
0.0154674	259.287	0.00964876	204.448
0.015581	257.901	0.00972497	203.815
0.0156949	256.517	0.00980141	203.182
0.0158089	255.142	0.00987808	202.55
0.0159233	253.783	0.00995498	201.918
0.0160378	252.444	0.0100321	201.287
0.0161526	251.122	0.0101095	200.656
0.0162676	249.813	0.0101871	200.026
0.0163829	248.509	0.0102649	199.396
0.0164985	247.21	0.010343	198.767
0.0166143	245.916	0.0104213	198.138
0.0167303	244.635	0.0104999	197.51
0.0168466	243.371	0.0105787	196.882
0.0169631	242.124	0.0106578	196.255
0.0170799	240.891	0.0107371	195.628
0.017197	239.663	0.0108167	195.002
0.0173143	238.435	0.0108965	194.376
0.0174319	237.207	0.0109766	193.75
0.0175498	235.988	0.011057	193.125
0.0176679	234.788	0.0111376	192.5
0.0177863	233.61	0.0112185	191.876
0.017905	232.449	0.0112996	191.253
0.0180239	231.299	0.011381	190.629
0.0181432	230.152	0.0114627	190.006
0.0182627	229.003	0.0115446	189.384
0.0183824	227.843	0.0116269	188.762
0.0185025	226.664	0.0117094	188.14
0.0186229	225.497	0.0117922	187.519
0.0187435	224.351	0.0118753	186.898
0.0188644	223.224	0.0119587	186.278
0.0189856	222.114	0.0120423	185.658
0.0191071	221.018	0.0121263	185.038
0.0192289	219.933	0.0122105	184.419
0.019351	218.856	0.0122951	183.801
0.0194735	217.784	0.0123799	183.182
0.0195962	216.714	0.0124651	182.564
0.0197192	215.645	0.0125505	181.947
0.0198425	214.58	0.0126363	181.33
0.0199661	213.521	0.0127224	180.713
0.02009	212.473	0.0128088	180.096
0.0202143	211.434	0.0128955	179.48
0.0203388	210.403	0.0129825	178.865
0.0204637	209.376	0.0130699	178.249
0.0205889	208.351	0.0131576	177.635
0.0207144	207.323	0.0132456	177.02
0.0208403	206.287	0.0133339	176.406
0.0209664	205.245	0.0134226	175.792
0.0210929	204.216	0.0135116	175.179
0.0212197	203.205	0.013601	174.566
0.0213469	202.215	0.0136907	173.954
0.0214744	201.242	0.0137808	173.342
0.0216022	200.282	0.0138712	172.73
0.0217304	199.33	0.0139619	172.119
0.0218589	198.384	0.014053	171.508
0.0219877	197.438	0.0141445	170.897
0.0221169	196.493	0.0142363	170.287
0.0222465	195.547	0.0143285	169.677
0.0223764	194.594	0.0144211	169.067
0.0225066	193.643	0.014514	168.458
0.0226372	192.701	0.0146073	167.849
0.0227682	191.771	0.014701	167.24
0.0228995	190.855	0.0147951	166.632
0.0230312	189.95	0.0148896	166.024
0.0231632	189.052	0.0149844	165.417
0.0232956	188.158	0.0150796	164.809
0.0234284	187.265	0.0151752	164.202
0.0235616	186.37	0.0152712	163.596
0.0236951	185.465	0.0153676	162.99
0.023829	184.54	0.0154644	162.384
0.0239633	183.614	0.0155617	161.778
0.0240979	182.706	0.0156593	161.173
0.0242329	181.819	0.0157574	160.569
0.0243684	180.953	0.0158559	159.965
0.0245042	180.104	0.0159547	159.361
0.0246404	179.268	0.016054	158.757
0.024777	178.44	0.0161537	158.154
0.024914	177.615	0.0162539	157.551
0.0250514	176.791	0.0163544	156.948
0.0251891	175.965	0.0164554	156.346
0.0253273	175.129	0.0165568	155.744
0.0254659	174.272	0.0166586	155.142
0.0256049	173.384	0.0167609	154.541
0.0257443	172.498	0.0168637	153.94
0.0258841	171.635	0.0169669	153.34
0.0260244	170.797	0.0170706	152.74
0.026165	169.98	0.0171747	152.14
0.0263061	169.18	0.0172793	151.541
0.0264475	168.39	0.0173843	150.943
0.0265894	167.606	0.0174898	150.344
0.0267318	166.824	0.0175958	149.746
0.0268745	166.043	0.0177022	149.148
0.0270177	165.261	0.017809	148.551
0.0271613	164.476	0.0179164	147.954
0.0273054	163.688	0.0180242	147.357
0.0274498	162.9	0.0181325	146.76
0.0275948	162.112	0.0182413	146.164
0.0277401	161.323	0.0183505	145.569
0.027886	160.534	0.0184603	144.974
0.0280322	159.751	0.0185705	144.379
0.0281789	158.974	0.0186813	143.785
0.0283261	158.205	0.0187925	143.191
0.0284737	157.445	0.0189043	142.597
0.0286217	156.691	0.0190165	142.004
0.0287703	155.942	0.0191293	141.412
0.0289192	155.196	0.0192426	140.819
0.0290687	154.453	0.0193563	140.227
0.0292186	153.71	0.0194706	139.636
0.029369	152.969	0.0195854	139.045
0.0295198	152.23	0.0197007	138.454
0.0296711	151.492	0.0198166	137.864
0.0298229	150.756	0.019933	137.274
0.0299752	150.023	0.0200499	136.685
0.0301279	149.294	0.0201673	136.096
0.0302812	148.569	0.0202853	135.508
0.0304349	147.847	0.0204038	134.92
0.0305891	147.128	0.0205229	134.333
0.0307437	146.413	0.0206425	133.746
0.0308989	145.701	0.0207627	133.159
0.0310546	144.995	0.0208834	132.573
0.0312107	144.296	0.0210047	131.988
0.0313674	143.603	0.0211265	131.403
0.0315245	142.916	0.0212489	130.818
0.0316822	142.232	0.0213719	130.234
0.0318404	141.55	0.0214954	129.65
0.031999	140.867	0.0216195	129.067
0.0321582	140.182	0.0217442	128.484
0.0323179	139.488	0.0218695	127.902
0.0324781	138.783	0.0219953	127.32
0.0326388	138.084	0.0221218	126.739
0.0328	137.396	0.0222489	126.158
0.0329618	136.719	0.0223766	125.578
0.033124	136.05	0.0225048	124.999
0.0332868	135.387	0.0226337	124.42
0.0334501	134.726	0.0227632	123.842
0.033614	134.066	0.0228933	123.264
0.0337784	133.405	0.023024	122.687
0.0339433	132.747	0.0231553	122.11
0.0341087	132.093	0.0232873	121.534
0.0342747	131.444	0.0234199	120.959
0.0344412	130.799	0.0235531	120.384
0.0346082	130.155	0.0236869	119.809
0.0347758	129.513	0.0238215	119.235
0.034944	128.87	0.0239566	118.662
0.0351127	128.223	0.0240924	118.09
0.0352819	127.566	0.0242288	117.518
0.0354517	126.903	0.024366	116.947
0.035622	126.248	0.0245039	116.376
0.0357929	125.605	0.0246424	115.807
0.0359644	124.972	0.0247816	115.238
0.0361364	124.347	0.0249214	114.67
0.036309	123.727	0.025062	114.102
0.0364821	123.108	0.0252032	113.535
0.0366558	122.491	0.0253451	112.969
0.0368301	121.874	0.0254878	112.403
0.0370049	121.26	0.0256311	111.838
0.0371803	120.648	0.0257752	111.274
0.0373563	120.038	0.02592	110.711
0.0375328	119.43	0.0260655	110.148
0.0377099	118.824	0.0262118	109.586
0.0378876	118.217	0.0263588	109.025
0.0380659	117.611	0.0265065	108.465
0.0382448	117.002	0.0266549	107.905
